"Area","Function","Claude","Codex","OpenCode","Antigravity","Pi","Gemini","Acceptance"
"Discovery","Model catalog refresh","Pass","Pass","Pass","Pass","Pass","Design skip","Fresh provider catalog or explicit unavailable result"
"Discovery","Direct model access","Pass","Pass","Pass","Pass","Pass","Design skip","Selected model answers an authenticated direct probe; no Wardian runtime claim"
"Discovery","Interactive model choice","Untested","Fail","Untested","Untested","Untested","Design skip","Observed provider model menu requires action; explicit choice preserves the configured model"
"Lifecycle","Launch and readiness","Pass","Blocked","Pass","Pass","Fail","Design skip","Real CLI reaches its ready composer"
"Delivery","Short prompt","Pass","Blocked","Pass","Pass","Fail","Design skip","Exact assistant response to short prompt"
"Delivery","Multiline prompt","Pass","Blocked","Pass","Pass","Untested","Design skip","Assistant responds to complete multiline input"
"Delivery","Trailing newline","Pass","Blocked","Pass","Pass","Untested","Design skip","One complete submission with trailing newline"
"Delivery","Long pasted prompt","Pass","Blocked","Pass","Pass","Untested","Design skip","One submission preserves independent beginning, middle, and end labels in the native answer"
"Delivery","Completion and idle status","Pass","Blocked","Pass","Pass","Fail","Design skip","Provider completion and Wardian idle agree"
"Delivery","Delivery acknowledgement","Pass","Fail","Pass","Pass","Fail","Design skip","Wardian acknowledges one submitted turn without a false failure or replay"
"Chat","Provider session identity","Pass","Blocked","Pass","Pass","Untested","Design skip","Verified provider session stored on correct Wardian agent"
"Chat","Current chat-log link","Pass","Blocked","Pass","Pass","Untested","Design skip","Link targets current provider log and updates after session change"
"Chat","Live transcript refresh","Pass","Untested","Pass","Pass","Untested","Design skip","New provider-authored response appears without restart"
"Chat","Genuine user prompts","Pass","Fail","Pass","Pass","Fail","Design skip","Real human requests retain native provenance; tool results do not become user prompts"
"Chat","Injected context roles","Untested","Blocked","Untested","Untested","Untested","Design skip","Observed provider context retains non-user roles and non-request archive provenance"
"Chat","Request and turn correlation","Pass","Blocked","Pass","Pass","Fail","Design skip","Native requests retain stable request roots and causal references"
"Chat","Assistant response deduplication","Pass","Untested","Pass","Pass","Untested","Design skip","One visible answer per provider response"
"Chat","Tool calls and results","Pass","Blocked","Pass","Pass","Fail","Design skip","Real tool invocation and result rendered with correct identity"
"Chat","Durable archive replay","Pass","Untested","Pass","Pass","Blocked","Design skip","Archived history preserves roles and content after reload"
"Lifecycle","Pause and resume","Pass","Blocked","Fail","Pass","Untested","Design skip","Provider resumes exact conversation after pause"
"Lifecycle","Fresh session","Pass","Fail","Pass","Pass","Untested","Design skip","New provider identity and no stale chat after fresh restart"
"Lifecycle","Clear session","Untested","Untested","Untested","Untested","Untested","Design skip","Clear resets active display and correct fresh identity lifecycle"
"Terminal","Terminal rendering and resize","Fail","Untested","Blocked","Untested","Untested","Design skip","Real provider output remains readable after resize"
"Terminal","Terminal scrollback","Untested","Untested","Untested","Untested","Untested","Design skip","Provider-appropriate retained output is readable"
"Telemetry","Token usage logging","Pass","Untested","Pass","Design skip","Untested","Design skip","Real provider token usage reaches Wardian telemetry"
"Telemetry","Activity history","Untested","Untested","Untested","Untested","Untested","Design skip","Real provider or archive-derived activity reaches Wardian history"
"Telemetry","Cost reporting","Untested","Untested","Untested","Design skip","Untested","Design skip","Cost availability is represented accurately from real source"
"Context","Instructions and workspace","Untested","Fail","Untested","Untested","Untested","Design skip","Provider uses intended workspace and managed instruction marker"
"Context","Managed skill discovery","Untested","Untested","Untested","Untested","Untested","Design skip","Assigned skill is discoverable in actual provider session"
"Permissions","Approval handling","Untested","Untested","Untested","Untested","Untested","Design skip","Current real approval prompts enter and leave action-required"
"Permissions","Automation approval rejection","Untested","Untested","Untested","Untested","Untested","Design skip","Parked approval appears in the public Inbox; rejection prevents provider invocation"
"Headless","Ephemeral automation","Pass","Pass","Pass","Pass","Pass","Design skip","Temporary provider node completes with assistant output"
"Headless","Fresh inherited automation","Fail","Untested","Fail","Blocked","Untested","Design skip","Inherited config creates a fresh provider conversation"
"Headless","Resumed automation","Fail","Untested","Fail","Untested","Untested","Design skip","Exact existing conversation continues through automation"
"Native delivery","Native broker delivery","Untested","Fail","Fail","Blocked","Fail","Design skip","Broker records provider-native turn start and completion"
"Native delivery","Native session continuity","Untested","Untested","Untested","Untested","Blocked","Design skip","Second provider completion recalls an omitted secret on the same native session binding"
"Native delivery","Cancellation and recovery","Untested","Untested","Untested","Design skip","Untested","Design skip","Provider confirms cancellation and a subsequent turn proves execution capacity released; persistent transport may remain"
"Messaging","Background task and correlated reply","Untested","Pass","Untested","Untested","Untested","Design skip","Canonical task reaches the provider and its exact correlated reply is consumed by the sender"
"Messaging","Background conversation continuity","Untested","Pass","Untested","Untested","Untested","Design skip","A subsequent task completes on the same conversation across native owner generations"
"Messaging","Original terminal task and reply","Untested","Pass","Untested","Untested","Untested","Design skip","The original local terminal shares the conversation receiving the task and its correlated reply"
"Messaging","Information without a new turn","Untested","Pass","Untested","Untested","Untested","Design skip","Information reaches the existing native conversation without starting a turn"
"Messaging","Active turn interruption","Untested","Pass","Untested","Untested","Untested","Design skip","An explicit interrupt receives the interrupted event for the exact active turn"
