"Provider","Area","Function","Mode","Baseline","Latest","Model","CLI version","Revision","Build","Observed date","Case","Acceptance","Evidence","Source"
"claude","Discovery","Model catalog refresh","interactive-cli","Pass","Pass","haiku","2.1.265 (Claude Code)","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T05:53:07.385Z","chat/model-catalog","Fresh provider catalog or explicit unavailable result","{""selected_model_present"":true,""model_count"":4}","https://github.com/wardian-app/Wardian/issues/1159"
"codex","Discovery","Model catalog refresh","interactive-cli","Pass","Pass","gpt-5.6-luna","codex-cli 0.154.0-alpha.6","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:8b65e5cba8489fe2a2f196ef2f91d82fb5b0228495c2b47fdbc9ae030284c16b","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 2b45904b408fdce7ab2d50d69d16a2c1e1372da2b5e5c1b64303a0b8af23aa9d; sources SHA256 8b65e5cba8489fe2a2f196ef2f91d82fb5b0228495c2b47fdbc9ae030284c16b; app SHA256 d186f0864d349f2d57f8509cf8710fc8ae3775d346c11c7e9d349aa6cb652696; CLI SHA256 c9479266b084441adda6f10531f115225adecd4c1839dece47e122ffeac1d4d6","2026-09-09T07:21:43.665Z","chat/model-catalog","Fresh provider catalog or explicit unavailable result","{""selected_model_present"":true,""model_count"":7}","https://github.com/wardian-app/Wardian/issues/1159"
"opencode","Discovery","Model catalog refresh","interactive-cli","Pass","Pass","opencode/mimo-v2.5-free","1.18.29","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T06:01:37.474Z","chat/model-catalog","Fresh provider catalog or explicit unavailable result","{""selected_model_present"":true,""model_count"":27}","https://github.com/wardian-app/Wardian/issues/1159"
"antigravity","Discovery","Model catalog refresh","interactive-cli","Fail","Pass","gemini-3.8-flash-low","1.1.28","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T06:05:12.321Z","chat/model-catalog","Fresh provider catalog or explicit unavailable result","{""selected_model_present"":true,""model_count"":14}","https://github.com/wardian-app/Wardian/issues/1159"
"pi","Discovery","Model catalog refresh","interactive-cli","Pass","Pass","lmstudio/gemma-4-31b-unslop-good-lora-v1-i1","0.84.2","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:8b65e5cba8489fe2a2f196ef2f91d82fb5b0228495c2b47fdbc9ae030284c16b","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 2b45904b408fdce7ab2d50d69d16a2c1e1372da2b5e5c1b64303a0b8af23aa9d; sources SHA256 8b65e5cba8489fe2a2f196ef2f91d82fb5b0228495c2b47fdbc9ae030284c16b; app SHA256 d186f0864d349f2d57f8509cf8710fc8ae3775d346c11c7e9d349aa6cb652696; CLI SHA256 c9479266b084441adda6f10531f115225adecd4c1839dece47e122ffeac1d4d6","2026-09-09T07:29:22.244Z","chat/model-catalog","Fresh provider catalog or explicit unavailable result","{""selected_model_present"":true,""model_count"":10}","https://github.com/wardian-app/Wardian/issues/1159"
"gemini","Discovery","Model catalog refresh","CLI model discovery","Design skip","Design skip","","","","","","","Fresh provider catalog or explicit unavailable result","Unmaintained provider excluded from maintained-provider acceptance; no functionality claim.","https://github.com/wardian-app/Wardian/issues/581"
"claude","Discovery","Direct model access","direct CLI","Pass","Pass","haiku","2.1.263","39d996c896de2e5a4883ff325984889c851348e2","39d996c896de2e5a4883ff325984889c851348e2; debug Wardian.exe and wardian-cli.exe","2026-09-07","catalog-minimal-probe","Selected model answers an authenticated direct probe; no Wardian runtime claim","authenticated print probe returned exact marker; live catalog basis recorded in claude-models.json","https://github.com/wardian-app/Wardian/issues/1159"
"codex","Discovery","Direct model access","direct CLI","Pass","Pass","gpt-5.4-mini","codex-cli 0.153.4","39d996c896de2e5a4883ff325984889c851348e2","39d996c896de2e5a4883ff325984889c851348e2; debug Wardian.exe and wardian-cli.exe","2026-09-07","catalog-minimal-probe","Selected model answers an authenticated direct probe; no Wardian runtime claim","authenticated exec probe returned exact marker; live catalog basis recorded in codex-models.json","https://github.com/wardian-app/Wardian/issues/1159"
"opencode","Discovery","Direct model access","direct CLI","Pass","Pass","opencode/mimo-v2.5-free","1.18.29","39d996c896de2e5a4883ff325984889c851348e2","39d996c896de2e5a4883ff325984889c851348e2; debug Wardian.exe and wardian-cli.exe","2026-09-07","catalog-minimal-probe","Selected model answers an authenticated direct probe; no Wardian runtime claim","current opencode models catalog entry; direct run returned exact marker; opencode-models.json records catalog basis","https://github.com/wardian-app/Wardian/issues/1159"
"antigravity","Discovery","Direct model access","direct CLI","Pass","Pass","gemini-3.6-flash-low","1.1.27","39d996c896de2e5a4883ff325984889c851348e2","39d996c896de2e5a4883ff325984889c851348e2; debug Wardian.exe and wardian-cli.exe","2026-09-07","catalog-minimal-probe","Selected model answers an authenticated direct probe; no Wardian runtime claim","agy models current catalog entry; authenticated print probe returned exact marker; live catalog basis recorded in antigravity-models.json","https://github.com/wardian-app/Wardian/issues/1159"
